measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,10,Cambodia,1,Male,10,25 to 29,587,Diabetes mellitus,2,Percent,2017,0.000704789,0.001008063,0.000454945
6,Incidence,10,Cambodia,2,Female,10,25 to 29,587,Diabetes mellitus,2,Percent,2017,0.000637071,0.000914492,0.000422488
6,Incidence,10,Cambodia,3,Both,10,25 to 29,587,Diabetes mellitus,2,Percent,2017,0.000671825,0.000958869,0.000441519
6,Incidence,10,Cambodia,1,Male,11,30 to 34,587,Diabetes mellitus,2,Percent,2017,0.000895465,0.001231253,0.000583002
6,Incidence,10,Cambodia,2,Female,11,30 to 34,587,Diabetes mellitus,2,Percent,2017,0.000804152,0.001106868,0.000534801
6,Incidence,10,Cambodia,3,Both,11,30 to 34,587,Diabetes mellitus,2,Percent,2017,0.00085042,0.001150855,0.000568174
6,Incidence,10,Cambodia,1,Male,12,35 to 39,587,Diabetes mellitus,2,Percent,2017,0.001234177,0.001747784,0.000832228
6,Incidence,10,Cambodia,2,Female,12,35 to 39,587,Diabetes mellitus,2,Percent,2017,0.001092403,0.001508754,0.000724161
6,Incidence,10,Cambodia,3,Both,12,35 to 39,587,Diabetes mellitus,2,Percent,2017,0.001163192,0.001607501,0.000784111
6,Incidence,10,Cambodia,1,Male,13,40 to 44,587,Diabetes mellitus,2,Percent,2017,0.001380779,0.00186969,0.000981194
6,Incidence,10,Cambodia,2,Female,13,40 to 44,587,Diabetes mellitus,2,Percent,2017,0.00136629,0.001810045,0.000985283
6,Incidence,10,Cambodia,3,Both,13,40 to 44,587,Diabetes mellitus,2,Percent,2017,0.001373141,0.001818953,0.000991712
6,Incidence,10,Cambodia,1,Male,14,45 to 49,587,Diabetes mellitus,2,Percent,2017,0.001355757,0.001921476,0.000908542
6,Incidence,10,Cambodia,2,Female,14,45 to 49,587,Diabetes mellitus,2,Percent,2017,0.001663807,0.002354019,0.001153984
6,Incidence,10,Cambodia,3,Both,14,45 to 49,587,Diabetes mellitus,2,Percent,2017,0.00151291,0.002156883,0.001042384
6,Incidence,10,Cambodia,1,Male,15,50 to 54,587,Diabetes mellitus,2,Percent,2017,0.001367427,0.001965238,0.000929392
6,Incidence,10,Cambodia,2,Female,15,50 to 54,587,Diabetes mellitus,2,Percent,2017,0.001792864,0.002431336,0.001264227
6,Incidence,10,Cambodia,3,Both,15,50 to 54,587,Diabetes mellitus,2,Percent,2017,0.001585333,0.00217981,0.001104074
6,Incidence,10,Cambodia,1,Male,16,55 to 59,587,Diabetes mellitus,2,Percent,2017,0.001435252,0.002029976,0.000983365
6,Incidence,10,Cambodia,2,Female,16,55 to 59,587,Diabetes mellitus,2,Percent,2017,0.001759943,0.002407744,0.001254621
6,Incidence,10,Cambodia,3,Both,16,55 to 59,587,Diabetes mellitus,2,Percent,2017,0.001608645,0.002198756,0.001132914
6,Incidence,10,Cambodia,1,Male,17,60 to 64,587,Diabetes mellitus,2,Percent,2017,0.001386454,0.001913973,0.000965751
6,Incidence,10,Cambodia,2,Female,17,60 to 64,587,Diabetes mellitus,2,Percent,2017,0.001590349,0.002162165,0.00112313
6,Incidence,10,Cambodia,3,Both,17,60 to 64,587,Diabetes mellitus,2,Percent,2017,0.001502541,0.00202742,0.001063444
6,Incidence,10,Cambodia,1,Male,18,65 to 69,587,Diabetes mellitus,2,Percent,2017,0.001203428,0.001665834,0.000798293
6,Incidence,10,Cambodia,2,Female,18,65 to 69,587,Diabetes mellitus,2,Percent,2017,0.001285108,0.001742558,0.000873853
6,Incidence,10,Cambodia,3,Both,18,65 to 69,587,Diabetes mellitus,2,Percent,2017,0.00125091,0.001694259,0.000853684
6,Incidence,10,Cambodia,1,Male,19,70 to 74,587,Diabetes mellitus,2,Percent,2017,0.001100119,0.0015124,0.000753063
6,Incidence,10,Cambodia,2,Female,19,70 to 74,587,Diabetes mellitus,2,Percent,2017,0.001120574,0.001534524,0.00076525
6,Incidence,10,Cambodia,3,Both,19,70 to 74,587,Diabetes mellitus,2,Percent,2017,0.001111926,0.001510151,0.000762982
6,Incidence,10,Cambodia,1,Male,20,75 to 79,587,Diabetes mellitus,2,Percent,2017,0.001059385,0.001486014,0.000737644
6,Incidence,10,Cambodia,2,Female,20,75 to 79,587,Diabetes mellitus,2,Percent,2017,0.001055072,0.001453692,0.000757155
6,Incidence,10,Cambodia,3,Both,20,75 to 79,587,Diabetes mellitus,2,Percent,2017,0.001056301,0.00145693,0.000749618
6,Incidence,10,Cambodia,1,Male,21,80 plus,587,Diabetes mellitus,2,Percent,2017,0.000578114,0.000818273,0.000391223
6,Incidence,10,Cambodia,2,Female,21,80 plus,587,Diabetes mellitus,2,Percent,2017,0.000614449,0.000848337,0.000428589
6,Incidence,10,Cambodia,3,Both,21,80 plus,587,Diabetes mellitus,2,Percent,2017,0.000600818,0.000828517,0.00041707
6,Incidence,10,Cambodia,1,Male,22,All Ages,587,Diabetes mellitus,2,Percent,2017,0.000631721,0.000707648,0.000564062
6,Incidence,10,Cambodia,2,Female,22,All Ages,587,Diabetes mellitus,2,Percent,2017,0.00068155,0.000769395,0.000605487
6,Incidence,10,Cambodia,3,Both,22,All Ages,587,Diabetes mellitus,2,Percent,2017,0.000656502,0.00073371,0.000586255
1,Deaths,10,Cambodia,1,Male,10,25 to 29,587,Diabetes mellitus,2,Percent,2017,0.005601333,0.007807926,0.003927068
1,Deaths,10,Cambodia,2,Female,10,25 to 29,587,Diabetes mellitus,2,Percent,2017,0.008300778,0.01232716,0.005258687
1,Deaths,10,Cambodia,3,Both,10,25 to 29,587,Diabetes mellitus,2,Percent,2017,0.00655557,0.008606827,0.004859759
1,Deaths,10,Cambodia,1,Male,11,30 to 34,587,Diabetes mellitus,2,Percent,2017,0.009171746,0.01266424,0.006356108
1,Deaths,10,Cambodia,2,Female,11,30 to 34,587,Diabetes mellitus,2,Percent,2017,0.011304517,0.016570968,0.007575025
1,Deaths,10,Cambodia,3,Both,11,30 to 34,587,Diabetes mellitus,2,Percent,2017,0.010000773,0.012988004,0.007769321
1,Deaths,10,Cambodia,1,Male,12,35 to 39,587,Diabetes mellitus,2,Percent,2017,0.013355532,0.018459131,0.009568745
1,Deaths,10,Cambodia,2,Female,12,35 to 39,587,Diabetes mellitus,2,Percent,2017,0.018163932,0.026439293,0.012374884
1,Deaths,10,Cambodia,3,Both,12,35 to 39,587,Diabetes mellitus,2,Percent,2017,0.015329228,0.019838937,0.011753436
